id,title,approach_family,baseline_compared,head_to_head_result
REC_1146,Micro-radar and UWB aided UAV navigation in GNSS denied environment,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1148,UAV-Based Structural Health Monitoring Using a Two-Stage CNN Model with Lighthouse Localization in GNSS-Denied Environments,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1150,NaviLoc: Trajectory-Level Visual Localization for GNSS-Denied UAV Navigation,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1159,GPS-Denied Navigation Aided by Synthetic Aperture Radar Using the Range-Doppler Algorithm,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1160,Towards Large-Scale Relative Localization in Multi-Robot Systems with Dynamic UWB Role Allocation,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1163,A comparative study of TERCOM-EKF and ViSensorRF for UAV localization in GNSS-denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1167,APF-Driven Lightweight UAV Swarm Trajectory Optimization in GNSS-Denied Air–Terrestrial Navigation,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1175,Deep Learning for Autonomous UAV Navigation: Multi-Modal Visual-Inertial Pose Estimation in GPS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1185,UAV swarm distributed cooperative localization in GNSS-denied environments: an ICMC and ACPM Fusion approach,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1190,Reduction of GNSS-Denied inertial navigation errors for fixed wing autonomous unmanned air vehicles,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1192,Indoor UAV Localization Using a Tether,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1207,GPS-denied indoor and outdoor monocular vision aided navigation and control of unmanned aircraft,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1208,Energy-Aware Adaptive Communication Topology with Edge-AI Navigation for UAV Swarms in GNSS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1212,Autonomous drone hunter operating by deep learning and all-onboard computations in GPS-denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1216,A Two-Stage Residual Extended Kalman Filter using Extreme Gradient Boosting and Kolmogorov–Arnold Networks for terrain-aided Unmanned Aerial Vehicle Localization in Global Navigation Satellite System-denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1217,Vision based UAS navigation for RFI localization,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1223,"uVGS-2: The Micro Video Guidance Sensor: A 6-DoF Robust Pose Estimator for Autonomous Proximity Maneuvers in Drones, Spacecraft and Mobile Robot Navigation",Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1245,Fusion of Optical Flow and Dead Reckoning Algorithms for UAV Navigation Without GPS,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1248,Gradient perception approach: Mapless INS/geomagnetic combined navigation in GPS-denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1250,Long-Distance GNSS-Denied Visual Inertial Navigation for Autonomous Fixed-Wing Unmanned Air Vehicles: SO(3) Manifold Filter Based on Virtual Vision Sensor,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1252,Artificial Intelligence-Based Decision Support System for UAV Control in a Simulated Environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1253,Real-Time Autonomous UAV Navigation with SLAM-Based Mapping and Direction-Oriented Exploration in Forest-like GNSS-Denied Scenarios,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1267,Field-testing of a UAV-UGV team for GNSS-denied navigation in subterranean environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1270,Navigation of UAV in GNSS denied area,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1274,Integrated Air–Ground Robotic System for Autonomous Post-Blast Operations in GNSS-Denied Tunnels,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1277,A Physics-Guided Aeromagnetic Interference Compensation Method for Geomagnetic Sensing in GNSS-Denied UAV Swarm Systems,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1283,Cooperative monocular-based SLAM for multi-UAV systems in GPS-denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1285,Unmanned autonomous aerial navigation in GPS-denied environments,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1286,Hybrid camera array-based UAV auto-landing on moving UGV in GPS-denied environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1295,Digital Twin Approach for Drift-Free UAV Localization in GPS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1298,Cooperative Localization for GNSS-Denied Subterranean Navigation: A UAV–UGV Team Approach,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1302,Federated Energy-Aware Deep Reinforcement Learning for GNSS-Independent Swarm UAV Autonomy †,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1306,UAV Visual Localization in GNSS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1307,An architecture for robust UAV navigation in GPS-denied areas,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1308,Multi-sensor Data Fusion for Autonomous Unmanned Aerial Vehicle Navigation in GPS Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1309,Vision-Based Unmanned Aerial Vehicle Swarm Cooperation and Online Point-Cloud Registration for Global Localization in Global Navigation Satellite System-Intermittent Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1313,A smart hybrid vision aided inertial navigation system approach for UAVs in a GNSS denied environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1330,UAV VISUAL AUTOLOCALIZATON BASED on AUTOMATIC LANDMARK RECOGNITION,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1358,An experimental analysis of outdoor UAV localisation through diverse estimators and crowd-sensed data fusion,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1366,Cooperative Localisation of a GPS-Denied UAV in 3-Dimensional Space Using Direction of Arrival Measurements,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1378,Optical Flow Sensor/INS/Magnetometer Integrated Navigation System for MAV in GPS-Denied Environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1393,ST-DCL: A Spatio-Temporally Decoupled Cooperative Localization Method for Dynamic Drone Swarms,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1405,Angle Robustness Unmanned Aerial Vehicle Navigation in GNSS-Denied Scenarios,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1417,Cellular Communication-Based Autonomous UAV Navigation with Obstacle Avoidance for Unknown Indoor Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1439,3D map and mmWave radar-based self-localization for UAVs in GNSS-denied environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1443,Study on angle-only relative navigation for unmanned aerial vehicle formation in GPS-denied environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1451,Vision Model-Based Real-Time Localization of Unmanned Aerial Vehicle for Autonomous Structure Inspection under GPS-Denied Environment,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1454,Adaptive UAV Visual Localisation Based on Improved Gradient-Damping Newton Method,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1463,Decentralised Multi-UAV Cooperative Searching Multi-Target in Cluttered and GPS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1474,Robust UAV-Satellite Imagery Alignment via Cross-Domain Descriptor Learning and Homography Optimization,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1480,Pose estimation for an autonomous vehicle using monocular vision,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1512,Hierarchical Multi-Agent Navigation Through the 72-h Thermal Drift Cliff,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1561,Characterization of mountain drainage patterns for GPS-denied UAS navigation augmentation,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1564,Ultra-wideband based cooperative relative localization algorithm and experiments for multiple unmanned aerial vehicles in GPS denied environments,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1573,Visual-based localization methods for unmanned aerial vehicles in landing operation on maritime vessel,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1582,Overview of Mutual Localization Techniques Between Unmanned Aerial Vehicles in Swarm,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1608,Long-term aerial robot localization based on visual odometry and radio-based ranging,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1612,Visual GPS-denied multi-agent localization & terrain classification,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1619,Robust Autonomous Flight in Constrained and Visually Degraded Shipboard Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1637,Virtual testbed for monocular visual navigation of small unmanned aircraft systems,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1640,Automatic landing of a low-cost quadrotor using monocular vision and Kalman filter in GPS-denied environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1642,UAV based target finding and tracking in GPS-denied and cluttered environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1667,Autonomous Mapping and Navigation Unit for Aerial Robots,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1678,Position and Orientation from Asynchronous Lidar in GNSS Denied Environments,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1688,Pose estimation based on laser range finder for a quadrotor unmanned aerial vehicle in GPS-denied environment,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_1715,"Autonomous targeted flight of a rotary-wing micro aerial vehicle in indoor, GPS-denied environments",Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
